date,sleep_hours,sleep_quality,steps,exercise,calories,productivity,stress,day_rating,mood,screen_time,min_temp,max_temp,weather,day_of_week,social,notes,creatine,vitamin_d,magnesium
2025-10-10,6.5,4.5,8500,push,2800,7.0,6.5,5.5,6.0,4.5,38.0,52.0,cloudy,Friday,3.0,Started new book,False,True,False
2025-10-11,8.2,8.5,3200,rest,2100,5.5,3.0,7.5,8.0,8.5,39.0,53.0,clear,Saturday,7.5,Went for a walk,True,False,False
2025-10-12,7.0,6.0,12000,legs,3500,8.5,4.0,8.0,7.0,3.0,40.0,54.0,clear,Sunday,8.5,Brunch with friends,False,False,True
2025-10-13,9.0,9.0,2500,rest,1800,3.5,2.0,6.5,9.0,9.0,41.0,55.0,clear,Monday,2.0,Productive day,True,True,False
2025-10-14,5.5,3.0,6800,pull,2900,6.0,7.5,4.0,4.5,5.5,41.0,55.0,cloudy,Tuesday,4.5,Watched a movie,False,True,True
2025-10-15,7.8,7.5,4500,rest,2200,4.5,5.0,7.0,7.5,6.0,40.0,54.0,rain,Wednesday,6.0,Rainy day,True,True,False
2025-10-16,6.0,5.0,9500,push,3200,9.0,3.5,8.5,6.5,2.5,39.0,53.0,cloudy,Thursday,5.5,Read articles,False,False,True
2025-10-17,8.5,8.0,1500,rest,2400,2.5,8.0,5.0,8.5,7.5,38.0,52.0,clear,Friday,1.5,Grocery shopping,True,False,True
2025-10-18,7.2,4.5,7200,legs,2700,7.5,4.5,6.0,5.5,4.0,37.0,51.0,clear,Saturday,8.0,Relaxed,False,True,False
2025-10-19,5.0,6.5,10500,push,3100,5.0,6.0,7.5,7.0,5.0,38.0,52.0,clear,Sunday,9.0,Family dinner,True,False,True
2025-10-20,8.8,7.0,3800,rest,1900,8.0,2.5,8.5,6.0,8.0,40.0,54.0,clear,Monday,3.5,Good workday,False,True,True
2025-10-21,6.8,9.0,5500,pull,2600,6.5,5.5,9.0,9.0,3.5,41.0,55.0,clear,Tuesday,4.0,Gym session,True,False,False
2025-10-22,7.5,5.5,8800,legs,3300,4.0,7.0,5.5,5.0,6.5,41.0,55.0,cloudy,Wednesday,7.0,Watched a show,False,True,True
2025-10-23,9.2,8.5,2200,rest,2000,7.0,1.5,7.0,8.5,9.5,40.0,54.0,rain,Thursday,2.5,Rainy again,True,True,False
2025-10-24,5.8,3.5,11000,push,2800,9.5,6.5,6.5,4.0,2.0,39.0,53.0,cloudy,Friday,6.5,Read a book,False,False,True
2025-10-25,7.0,7.0,4200,rest,2300,5.5,4.0,6.0,7.5,7.0,38.0,52.0,clear,Saturday,5.0,Cleaned apartment,True,True,False
2025-10-26,8.0,4.0,9200,legs,3400,3.0,8.5,4.5,3.5,4.5,37.0,51.0,clear,Sunday,8.5,Relaxed,False,False,True
2025-10-27,6.2,6.5,6500,pull,2500,8.5,3.0,7.5,6.5,5.5,39.0,53.0,cloudy,Monday,4.5,Work meeting,True,True,True
2025-10-28,8.5,9.0,3000,rest,2100,4.5,2.0,8.0,9.0,8.5,40.0,54.0,clear,Tuesday,3.0,Good progress,False,True,False
2025-10-29,5.5,5.0,7800,push,3000,7.0,5.5,5.0,5.5,4.0,42.0,56.0,clear,Wednesday,7.5,Felt great,True,False,True
2025-10-30,7.8,8.0,4800,rest,2200,6.0,4.5,7.5,8.0,7.0,41.0,55.0,cloudy,Thursday,6.0,Watched a movie,False,True,True
2025-10-31,9.0,6.0,10200,legs,3500,9.0,3.5,8.5,6.5,3.0,41.0,55.0,rain,Friday,9.0,Halloween prep,True,False,False
2025-11-01,6.5,7.5,5200,pull,2400,5.0,6.0,6.5,7.0,6.5,40.0,54.0,clear,Saturday,5.5,Fun day,False,True,True
2025-11-02,8.2,4.5,8500,rest,2900,3.5,7.5,4.0,4.5,5.0,39.0,53.0,cloudy,Sunday,2.5,Chores,True,False,False
2025-11-03,7.0,8.5,3500,push,2000,8.0,2.5,9.0,8.5,8.0,38.0,52.0,clear,Monday,4.0,Read articles,False,True,True
2025-11-04,5.2,5.5,9800,legs,3200,6.5,5.0,6.0,6.0,3.5,37.0,51.0,clear,Tuesday,8.0,Relaxed,True,False,True
2025-11-05,8.8,7.0,2800,rest,2300,7.5,3.0,7.0,7.5,7.5,38.0,52.0,clear,Wednesday,3.5,Family dinner,False,True,False
2025-11-06,6.0,9.0,11500,pull,3400,4.0,8.0,8.0,9.0,2.5,40.0,58.0,clear,Thursday,7.0,Worked on project,True,True,True
2025-11-07,7.5,6.5,6200,push,2600,5.5,4.5,5.5,6.5,5.5,39.0,55.0,cloudy,Friday,6.5,Relaxed day,False,False,True
